disease,phrase,count
atelectasis,bibasilar lung fields,4
atelectasis,lateral left base,4
atelectasis,bibasilar airspace,4
atelectasis,bilateral subsegmental,4
atelectasis,right perihilar region,4
atelectasis,right mid to lower lung,4
atelectasis,retrocardiac lung region,4
atelectasis,left lower lobe and lingula,4
atelectasis,right retrocardiac,4
atelectasis,right lung basis,4
atelectasis,right base and left base,4
atelectasis,right basal lobe,4
atelectasis,bilateral adjacent to pleural effusions,3
atelectasis,posterior lung,3
atelectasis,right middle lobe or lingula,3
atelectasis,right base and retrocardiac region,3
atelectasis,left basilar segment,3
atelectasis,left mid and lower lung fields,3
atelectasis,right lateral base,3
atelectasis,infrahilar,3
atelectasis,left mid and lower lungs,3
atelectasis,"right lower lobe, left lung base",3
atelectasis,left greater than right basilar,3
atelectasis,right suprahilar,3
atelectasis,right lower lobe and left lower lobe,3
atelectasis,"left lower lobe, right lung",3
atelectasis,lingula and left lower lobe,3
atelectasis,left costophrenic sulcus,3
atelectasis,retrocardiac and left basal,3
atelectasis,left retrocardiac area,3
atelectasis,bilateral upper lobes,3
atelectasis,lingular segment,3
atelectasis,middle lobe,3
atelectasis,right basilar and left lung base,3
atelectasis,bibasilar areas,3
atelectasis,left basilar and retrocardiac,3
atelectasis,both lower lungs,3
atelectasis,perihilar,3
atelectasis,bilateral subsegments,3
atelectasis,"bilateral bases, right greater than left",3
atelectasis,bilateral bases (left greater than right),3
atelectasis,left hemi thorax,3
atelectasis,retrocardiac and right lung base,3
atelectasis,left basal retrocardiac,3
atelectasis,medial right lower lung,3
atelectasis,retrocardiac airspace,3
atelectasis,left lingular lobe,3
atelectasis,both lungs,3
atelectasis,posterior lung bases,3
atelectasis,left bases,3
atelectasis,left lower lobe subsegment,3
atelectasis,left lateral costophrenic angle,3
atelectasis,bilateral basilar lung fields,3
atelectasis,adjacent to left hemidiaphragm,3
atelectasis,right upper lobe and left lower lobe,3
atelectasis,base of the right lung,3
atelectasis,left lingular,3
atelectasis,lingula and right middle lobe,3
atelectasis,right greater than left bibasilar,3
atelectasis,left lower lobe subsegmental,3
atelectasis,left-sided,3
atelectasis,bilateral basilar lungs,3
atelectasis,bilateral infrahilar,3
atelectasis,bibasilar retrocardiac,3
atelectasis,right hemidiaphragm adjacent,2
atelectasis,left hilus,2
atelectasis,"right middle lobe, bilateral lower lobes",2
atelectasis,right and left bases,2
atelectasis,right lower hemithorax,2
atelectasis,left mid lung and bilateral lower lungs,2
atelectasis,"right basilar, retrocardiac",2
atelectasis,left lung base and right lung base,2
atelectasis,medial right base,2
atelectasis,bilateral bibasilar areas,2
atelectasis,right base and left lower lobe,2
atelectasis,bilateral posterior basilar segments,2
atelectasis,"right mid lung field, left lung base",2
atelectasis,bilateral basilar areas,2
atelectasis,"right infrahilar, right basilar, left retrocardiac",2
atelectasis,right middle lobe and lingula,2
atelectasis,left base subsegmental,2
atelectasis,right lung apex,2
atelectasis,left lower lobe and left mid lung,2
atelectasis,minor fissure,2
atelectasis,left lung apex,2
atelectasis,left basilar and perihilar,2
atelectasis,right lung base and left lower lobe,2
atelectasis,right lower and middle lobes,2
atelectasis,"right lung base, left lower lobe",2
atelectasis,right mid lung zone,2
atelectasis,left infrahilar region,2
atelectasis,bilateral basilar subsegmental,2
atelectasis,bilateral lower lung fields,2
atelectasis,right costovertebral sulcus,2
atelectasis,lingula and bilateral lower lobes,2
atelectasis,medial left lung base,2
atelectasis,lung bases (right greater than left),2
atelectasis,bilateral bibasilar regions,2
atelectasis,right costophrenic sulcus,2
atelectasis,left and right lung base,2
atelectasis,retrocardiac and right basilar regions,2
atelectasis,lung bases (left greater than right),2
atelectasis,right hemi thorax,2
atelectasis,retrocardiac lung areas and left lung bases,2
atelectasis,right subsegmental,2
atelectasis,left hemidiaphragm area,2
atelectasis,right basilar and lingular,2
atelectasis,left upper and lower lobes,2
atelectasis,lower thoracic vertebral bodies,2
atelectasis,right retrocardiac region,2
atelectasis,right basilar medial,2
atelectasis,right-greater-than-left bases,2
atelectasis,right basal lung,2
atelectasis,left lower lobe medial aspect,2
atelectasis,left mid zone,2
atelectasis,right mid zone,2
atelectasis,left basilar and right lower lobe,2
atelectasis,retrocardiac basilar,2
atelectasis,right lung adjacent to pleural effusion,2
atelectasis,left upper zone,2
atelectasis,left lateral lung,2
atelectasis,right mid lung field,2
atelectasis,left basilar airspace,2
atelectasis,left lung adjacent to left pleural effusion,2
atelectasis,"left base, right base",2
atelectasis,adjacent to left pleural effusion,2
atelectasis,adjacent to right heart border,2
atelectasis,left lower lobe periphery,2
atelectasis,"bilateral bibasilar, right greater than left",2
atelectasis,medial right lung base,2
atelectasis,mid to lower lung,2
atelectasis,right lung base medially,2
atelectasis,lingula and lower lobes,2
atelectasis,"bilateral basal regions, right more prominent",2
atelectasis,left costodiaphragmatic angle,2
atelectasis,left mid and lower lung regions,2
atelectasis,right and left basilar regions,2
atelectasis,lower spine,2
atelectasis,right mid-lung,2
atelectasis,adjacent to neo esophagus,2
atelectasis,left lateral lung base,2
atelectasis,bilateral mid lung,2
atelectasis,adjacent left lower lobe,2
atelectasis,left mid to lower zone,2
atelectasis,right basilar and retrocardiac,2
atelectasis,above right hemidiaphragm,2
atelectasis,right upper zone,2
atelectasis,bilateral basal airspaces,2
atelectasis,right and left lung bases,2
atelectasis,bilateral adjacent to effusions,2
atelectasis,anterior lower lung,2
atelectasis,right lung base laterally,2
atelectasis,"right lung base, retrocardiac region",2
atelectasis,right base and left mid lung,2
atelectasis,"bilateral basilar, right greater than left",2
atelectasis,left and right base,2
atelectasis,posterior costophrenic sulcus,2
atelectasis,adjacent to hernia,2
atelectasis,scattered,2
atelectasis,left lower and right middle lobes,2
atelectasis,right bibasilar,2
atelectasis,"left lung base, medial right lung base",2
atelectasis,medial left lower lobe,2
atelectasis,medial right basilar,2
atelectasis,left mid and both lower lungs,2
atelectasis,both the left and the right lung bases,2
atelectasis,left posterior basilar,2
atelectasis,bilateral lower lungs medially,2
atelectasis,lingular and left lower lobe,2
atelectasis,retrocardiac areas,2
atelectasis,right infrahilar area,2
atelectasis,retrocardiac and right basal,2
atelectasis,left midlung zone,2
atelectasis,left subsegmental,2
atelectasis,left lower base,2
atelectasis,posterior left lower lobe,2
atelectasis,compressive,2
atelectasis,posterior lung base,2
atelectasis,retrocardiac and left lower lobe,2
atelectasis,overlying left hemidiaphragm,2
atelectasis,left perihilar region,2
atelectasis,left basal lung,2
atelectasis,right adjacent to pleural effusion,2
atelectasis,right subsegment,2
atelectasis,bilateral adjacent lung regions,2
atelectasis,right basilar and left basilar,2
atelectasis,left and right bases,2
atelectasis,left mid-zone,2
atelectasis,left lung base medially,2
atelectasis,"bilateral basilar, left greater than right",2
atelectasis,retrocardiac region and right base,2
atelectasis,bibasal areas,2
atelectasis,bibasilar (right more prominent),2
atelectasis,right and left basilar,2
atelectasis,left paramediastinal,2
atelectasis,right mid lung laterally,2
atelectasis,base,2
atelectasis,bilateral lower lung zones,2
atelectasis,bilateral pleural regions,2
atelectasis,left hemidiaphragm overlying area,2
atelectasis,partial lower lobe,2
atelectasis,basilar segments,2
atelectasis,"bilateral basal segments, left greater than right",2
atelectasis,left mid lung periphery,1
atelectasis,right mid lung field and right lung base,1
atelectasis,minimal subsegmental,1
atelectasis,unspecified lung area,1
atelectasis,right lower mediastinal contour,1
atelectasis,"bases, especially on the left",1
atelectasis,"lingula, right basilar",1
atelectasis,left mid lung region,1
atelectasis,left subsegmental right infrahilar,1
atelectasis,"left base, retrocardiac region",1
atelectasis,retrocardiac and bilateral basal,1
atelectasis,right and retrocardiac,1
atelectasis,surrounding,1
atelectasis,bilateral retrocardiac lung areas,1
atelectasis,infrahilar right lung,1
atelectasis,right base laterally,1
atelectasis,left mid-lung,1
atelectasis,right upper hemithorax,1
atelectasis,"right suprahilar region, both lower lobes",1
atelectasis,medial segment of the right middle lobe,1
atelectasis,"bilateral basal segments, right greater than left",1
atelectasis,bilateral bases and retrocardiac,1
atelectasis,"left lung, bilateral lungs",1
atelectasis,adjacent to right basilar mass,1
atelectasis,medial aspect of right lower lobe,1
atelectasis,"right mid lung, left lower lung",1
atelectasis,"right mid lung, right lower lung, left base",1
atelectasis,"right cardiophrenic region, retrocardiac region",1
atelectasis,left lower lobe and right side,1
atelectasis,left hemi diaphragm and right lung base,1
atelectasis,"right lung, left lung base",1
atelectasis,over the heart,1
atelectasis,"right upper lobe, right middle lobe, left lower lobe",1
atelectasis,right lung bases and retrocardiac,1
atelectasis,bases of right upper lobe,1
atelectasis,"right mid lung, right heart region",1
atelectasis,left mid and lower lung region,1
atelectasis,dependent posterior lung areas,1
atelectasis,"right perihilar, right infrahilar, left retrocardiac area",1
atelectasis,"left lung base, retrocardiac",1
atelectasis,"left lower lobe, middle lobe, right base",1
atelectasis,"left lower lobe, retrocardiac region",1
atelectasis,right perihilar and bibasilar regions,1
atelectasis,lower lungs (left greater than right),1
atelectasis,right middle lobe anterior aspect,1
atelectasis,left adjacent to chronic left effusion,1
atelectasis,bilateral lung bases (predominantly right),1
atelectasis,"bilateral bases, right more prominent",1
atelectasis,left mid lung and bibasilar,1
atelectasis,lingular and lower lobe,1
atelectasis,bilateral mid and lower lung fields,1
atelectasis,left base and retrocardiac space,1
atelectasis,adjacent to retrocardiac hiatal hernia,1
atelectasis,"left base, lateral right lung base",1
atelectasis,right lower and left lower lobes,1
atelectasis,right lung and retrocardiac,1
atelectasis,"right middle lobe lateral segment, left lower lung",1
atelectasis,bilateral peripheral bases,1
atelectasis,right bilateral lung bases,1
atelectasis,retrocardiac area and right lower lobe,1
atelectasis,bilateral lung base,1
atelectasis,left and right,1
atelectasis,left lung (excluding left suprahilar region),1
atelectasis,retrocardiac and left lower lung,1
atelectasis,posterior lower lobes,1
atelectasis,mid right lung,1
atelectasis,left upper lung zones,1
atelectasis,right medial base,1
atelectasis,entire left lung,1
atelectasis,"both lower lobes, lingula",1
atelectasis,"perihilar, bibasilar, left lower lobe medially behind heart",1
atelectasis,right and left base,1
atelectasis,lung bases and right upper lobe,1
atelectasis,left posterior basilar lung,1
atelectasis,left lower lobe and left basilar,1
atelectasis,"left lower zone, right hemidiaphragm above",1
atelectasis,right lower lobe and right middle lobe,1
atelectasis,"right mid and lower zones, left base",1
atelectasis,left lower lobe and right lung base,1
atelectasis,right basilar and left mid lung,1
atelectasis,right upper zone and bilateral lung bases,1
atelectasis,peripheral,1
atelectasis,left greater than right lung bases,1
atelectasis,"left mid lung, left lower lobe",1
atelectasis,bilateral lung bases and right upper lobe periphery,1
atelectasis,"right base, left adjacent to pleural effusion",1
atelectasis,left basilar and right lung,1
atelectasis,lung bases and left mid lung,1
atelectasis,left lower lobe and left mid lung region,1
atelectasis,lower lobes and right perihilar region,1
atelectasis,bilateral basilar regions (more prominent on right),1
atelectasis,bilateral bases (greater on left),1
atelectasis,"right lower lobe, left costophrenic angle, retrocardiac region",1
atelectasis,right upper and middle lobes,1
atelectasis,bilateral lungs (right predominance),1
atelectasis,bilateral lower lungs (right more extensive),1
atelectasis,"bibasilar regions, right upper lobe",1
atelectasis,right lower lung zone and left lung base,1
atelectasis,left basilar/lingular,1
atelectasis,lower lobe posteriorly,1
atelectasis,"right lower lung, left lung",1
atelectasis,bibasal and both hemidiaphragm,1
atelectasis,lingula and left upper lobe,1
atelectasis,left basal and retrocardiac regions,1
atelectasis,left lower lung zone,1
atelectasis,bilateral bases (right > left),1
atelectasis,"left basilar, left costophrenic angle, retrocardiac",1
atelectasis,bilateral basal regions (left more prominent),1
atelectasis,right basal aspect and left subsegmental,1
atelectasis,bilateral lower lobe subsegments,1
atelectasis,"right upper and mid lung zones, left mid to lower lung zone",1
atelectasis,right lung base and retrocardiac lung areas,1
atelectasis,left and right lungs (adjacent to respective pleural effusions),1
atelectasis,bilateral adjacent to pleural effusion,1
atelectasis,bilateral lung bases (left greater than right),1
atelectasis,right middle lobe and/or lingula,1
atelectasis,bilateral basilar (left worse than right),1
atelectasis,right lung base (subsegmental),1
atelectasis,upper and mid lung zones,1
atelectasis,left mid- and lower zones,1
atelectasis,bi-basal,1
atelectasis,left basilar and right lower lung base,1
atelectasis,"bilateral lung bases, posterior segments",1
atelectasis,left upper lobe and left basilar,1
atelectasis,bilateral retrocardiac lung region and right lung bases,1
atelectasis,bilateral lung areas,1
atelectasis,posterior left base,1
atelectasis,left lower lobe and retrocardiac region,1
atelectasis,"bilateral lung bases, left side worse than right",1
atelectasis,"left lung base, right lung base",1
atelectasis,"left mid lung, right lower lung",1
atelectasis,inferior basilar,1
atelectasis,right middle lobe or right lower lobe,1
atelectasis,right greater than left lower lobe,1
atelectasis,retrocardiac area and costophrenic angle,1
atelectasis,pulmonary bases,1
atelectasis,right basilar and perihilar,1
atelectasis,adjacent to left greater than right pleural effusions,1
atelectasis,right base and right middle lobe,1
atelectasis,bilateral lung bases (right more prominent),1
atelectasis,right infrahilar/right middle lobe,1
atelectasis,left and right basilar (left greater than right),1
atelectasis,"right lung base, retrocardiac, left mid lung field (peripheral)",1
atelectasis,associated with hiatal hernia,1
atelectasis,bilateral bases and left base,1
atelectasis,bilateral basilar regions (right > left),1
atelectasis,lingular region,1
atelectasis,left mid lung field subsegmental,1
atelectasis,right lower and right middle lobe,1
atelectasis,"left lung base, right lower lobe",1
atelectasis,bilateral mid zones,1
atelectasis,right lateral lung base,1
atelectasis,"right heart border, bibasilar",1
atelectasis,inferior lingula,1
atelectasis,retrocardiac lung base,1
atelectasis,"right basilar, left basilar",1
atelectasis,right mid lung and left lung base,1
atelectasis,"bibasilar, subsegmental retrocardiac",1
atelectasis,right lung base and right medial lower lung zone,1
atelectasis,"right mid zone, right cardiophrenic zone, left base",1
atelectasis,inferior spine (lateral view),1
atelectasis,"left lower lobe, left hilum, right basal",1
atelectasis,adjacent to bilateral pleura,1
atelectasis,"left basilar, right infrahilar",1
atelectasis,lower lungs and right mid lung,1
atelectasis,left perihilar and bibasilar,1
atelectasis,right lung mid field,1
atelectasis,"left perihilar, right mid lung",1
atelectasis,"right middle and lower lobes, left lower lobe basal segments",1
atelectasis,bibasilar and right greater than left basal,1
atelectasis,right mid lung region,1
atelectasis,left retrocardiac adjacent region and right basilar region,1
atelectasis,left lung base periphery,1
atelectasis,bibasilar lungs and left mid lung,1
atelectasis,right and left basal lobes,1
atelectasis,bilateral lower zones (left greater than right),1
atelectasis,left mid lung bases,1
atelectasis,retrocardiac and right bibasilar regions,1
atelectasis,lateral lung bases,1
atelectasis,infrahilar and bibasilar regions,1
atelectasis,bilateral lower lungs (left predominance),1
atelectasis,left mid-to-lower lung and left retrocardiac subsegment,1
atelectasis,left lung base and inferior lingula,1
atelectasis,"lung bases, right more pronounced",1
atelectasis,left lung base and mid left lung,1
atelectasis,bilateral mid and lower lungs,1
atelectasis,right heart border adjacent,1
atelectasis,left lower costophrenic sulcus,1
atelectasis,right subpulmonic region and left base,1
atelectasis,perihilar and left lower lobe,1
atelectasis,right minor fissure and left retrocardiac region,1
atelectasis,left lung base adjacent,1
atelectasis,"bilateral basilar regions, right more pronounced",1
atelectasis,left lung and right basilar,1
atelectasis,"bilateral bases, left base",1
atelectasis,"bibasilar, particularly right cardiophrenic angle",1
atelectasis,"bilateral, particularly lingula",1
atelectasis,right apical and basilar,1
atelectasis,right hilus,1
atelectasis,anterior right upper lobe adjacent to minor fissure,1
atelectasis,cardiac region,1
atelectasis,"bilateral bibasilar areas, right base",1
atelectasis,left and bilateral basilar regions,1
atelectasis,"bilateral, especially left",1
atelectasis,left costophrenic angle adjacent,1
atelectasis,left basilar lateral,1
atelectasis,left bases and retrocardiac lung area,1
atelectasis,bilateral basal and lingular segments,1
atelectasis,right posterior base,1
atelectasis,right mid lung adjacent to right hilum,1
atelectasis,"left midlung, right lower lung",1
atelectasis,left lower lung bases,1
atelectasis,mid to lower right lung zones,1
atelectasis,right basal and retrocardiac regions,1
atelectasis,retrocardiac region and right lung base,1
atelectasis,left midzone,1
atelectasis,"retrocardiac region, left hemidiaphragm",1
atelectasis,lateral right base,1
atelectasis,left hemidiaphragm and left lung base,1
atelectasis,"bibasilar lungs, left greater than right",1
atelectasis,retrocardiac areas adjacent to pleural effusions,1
atelectasis,bibasilar and left lung base,1
atelectasis,left upper lobe and left retrocardiac,1
atelectasis,"right middle and lower lobes posteriorly, left lung",1
atelectasis,"bilateral bases, right lung base prominent",1
atelectasis,"bibasilar, right base prominent",1
atelectasis,"left lower lung base, retrocardiac",1
atelectasis,retrocardiac and left mid lung,1
atelectasis,lateral left mid lung,1
atelectasis,left basal area,1
atelectasis,"right basilar, medial",1
atelectasis,overlying spine (lateral view),1
atelectasis,"left lung base, right basal",1
atelectasis,left perihilar and infrahilar,1
atelectasis,left hemidiaphragm and left lower lobe,1
atelectasis,basilar regions adjacent to pleural effusions,1
atelectasis,right base subsegmental,1
atelectasis,post-operative areas,1
atelectasis,cardiophrenic region,1
atelectasis,right hemidiaphragm associated region,1
atelectasis,right overlying pleural effusion,1
atelectasis,heart region (lateral view),1
atelectasis,adjacent basal lung segments,1
atelectasis,"bilateral basal regions, left retrocardiac region",1
atelectasis,right and left perihilar,1
atelectasis,lower right lung,1
atelectasis,left lower lobe posteriorly,1
atelectasis,left basilar and lingular,1
atelectasis,left basal region,1
atelectasis,left basilar lung periphery,1
atelectasis,site of prior left chest tube,1
atelectasis,mid lungs bilaterally,1
atelectasis,bilateral basal pulmonary,1
atelectasis,bilateral retrocardiac,1
atelectasis,basilar segments of lungs,1
atelectasis,"right middle lobe, lateral segment",1
atelectasis,right bases,1
atelectasis,"right lower lung, retrocardiac region",1
atelectasis,right lung (overlying right pleural effusion),1
atelectasis,right upper and middle lobe,1
atelectasis,"right lung base, left lower lung",1
atelectasis,bilateral basal lung regions,1
atelectasis,right mid and left lower lung fields,1
atelectasis,eighth posterior right rib,1
atelectasis,right basilar subsegmental,1
atelectasis,bilateral upper lobe,1
atelectasis,left posterior lower lung,1
atelectasis,"right infrahilar region, left base",1
atelectasis,"bibasilar, right greater than left",1
atelectasis,adjacent lung,1
atelectasis,right and left lower lung,1
atelectasis,right middle lobe medial segment,1
atelectasis,bibasilar and along minor fissure,1
atelectasis,right hilum and base,1
atelectasis,retrocardiac lung zones,1
atelectasis,bilateral basilar (adjacent to effusions),1
atelectasis,left pleural space,1
atelectasis,"right basilar lobe, left basilar lobe",1
atelectasis,inferior aspect of the right hilus,1
atelectasis,right mid and lower lung zones,1
atelectasis,"right middle lobe, bilateral lower lobes, retrocardiac",1
atelectasis,left lower lung at cardiophrenic angle,1
atelectasis,retrocardiac left lung base,1
atelectasis,right upper lobe base,1
atelectasis,bilateral basilar (predominantly retrocardiac),1
atelectasis,bilateral infrahilar parenchyma,1
atelectasis,posterior bilateral costophrenic angles,1
atelectasis,right mid and bilateral lower lungs,1
atelectasis,right lower perihilar region,1
atelectasis,bases of lungs,1
atelectasis,bilateral bases and left retrocardiac base,1
atelectasis,bilateral mid lung fields,1
atelectasis,right hilus level and left lung base,1
atelectasis,right cardiophrenic and lower lung,1
atelectasis,left lung base lateral,1
atelectasis,bilateral bases and right middle lobe,1
atelectasis,adjacent to aortic knob,1
atelectasis,"bilateral basilar, left more prominent",1
atelectasis,"bilateral lungs, especially right",1
atelectasis,"right base, left base, left mid zone",1
atelectasis,bilateral lower lobes (right more significant),1
atelectasis,minor mid to lower lung,1
atelectasis,"left mid lung, right lung base",1
atelectasis,horizontally oriented right perihilar,1
atelectasis,lateral left lung base,1
atelectasis,lung bases (left more pronounced),1
atelectasis,bilateral basal (greater in the left),1
atelectasis,adjacent,1
atelectasis,left perihilar and both retrocardiac regions,1
atelectasis,"left base, mild right mid lower lung",1
atelectasis,"right lung base, left lung base",1
atelectasis,left basal lung regions,1
atelectasis,bilateral (right more prominent),1
atelectasis,perihilar and bibasilar,1
atelectasis,left retrocardiac and right basal areas,1
atelectasis,"right lower lobe, right base",1
atelectasis,left midline,1
atelectasis,right upper lung laterally,1
atelectasis,left base/lingular,1
atelectasis,right lung base and left lower lung,1
atelectasis,"left retrocardiac space, left lower lung, right lung base",1
atelectasis,left posterior costophrenic angle,1
atelectasis,retrocardiac and basal lung zones,1
atelectasis,left retrocardiac region and right basilar,1
atelectasis,left lung (greater than right),1
atelectasis,bibasilar region,1
atelectasis,right upper lobe and bibasilar retrocardiac,1
atelectasis,dependent lung regions,1
atelectasis,left and bilateral bibasilar areas,1
atelectasis,both lung bases and lingula,1
atelectasis,left retrocardiac and right juxtahilar regions,1
atelectasis,bilateral and right,1
atelectasis,bilateral basal lung,1
atelectasis,bilateral medial lung bases,1
atelectasis,"lingula, posterior left basilar",1
atelectasis,"left lung base, right basilar region",1
atelectasis,basal compressed lung,1
atelectasis,left base and right cardiophrenic region,1
atelectasis,"left lung base, right midlung",1
atelectasis,left lung basilar segments,1
atelectasis,mid lung and right base,1
atelectasis,"left adjacent to pleural effusion, right basal lobe",1
atelectasis,right greater than left hemithorax,1
atelectasis,bilateral lung bases (left more than right),1
atelectasis,left lung bases at costophrenic sinus level,1
atelectasis,"major and minor fissure, right lung base",1
atelectasis,"bibasilar, right lung base",1
atelectasis,central,1
atelectasis,right middle lobe and lung bases,1
atelectasis,retrocardiac lung zone,1
atelectasis,mid-to-lower lungs bilaterally,1
atelectasis,left peripheral area,1
atelectasis,right upper lobe distal,1
atelectasis,right lung base and retrocardiac region,1
atelectasis,left lung and right upper lobe,1
atelectasis,bilateral mid to lower lungs,1
atelectasis,left upper lung zone,1
atelectasis,anterior region,1
atelectasis,"retrocardiac, right mid lung superior to minor fissure",1
atelectasis,"right lower lobe, right middle lobe, left mid-to-lower lung",1
atelectasis,bilateral mid-to-upper lung,1
atelectasis,right juxtahilar region,1
atelectasis,left base and adjacent to left heart border,1
atelectasis,left lung base and retrocardiac lung areas,1
atelectasis,bibasilar and right midlung,1
atelectasis,left hemidiaphragm posteriorly,1
atelectasis,bilateral peripheral lung bases,1
atelectasis,left and right lungs,1
atelectasis,left basilar and right midlung,1
atelectasis,mid lung and left lower lobe,1
atelectasis,bilateral lower lungs (left less) and upper lobes,1
atelectasis,"right upper lobe, right lung base",1
atelectasis,subsegmental bibasilar (most pronounced on the right),1
atelectasis,infrahilar region,1
atelectasis,"bilateral lung bases, retrocardiac regions",1
atelectasis,bilateral subsequent basal areas,1
atelectasis,"left mid lung field, bilateral lung bases",1
atelectasis,"left basal lobe, right basal lobe",1
atelectasis,"left paramediastinal, small retrocardiac",1
atelectasis,"left lung base, right perihilar region, upper lung",1
atelectasis,adjacent to cardiac fat pad,1
atelectasis,left lower lobe basilar,1
atelectasis,right lower lobe medial aspect,1
atelectasis,basal lung,1
atelectasis,bibasilar (left > right),1
atelectasis,left hemidiaphragm and left base,1
atelectasis,left lower field,1
atelectasis,bilateral lung areas (left more prominent),1
atelectasis,base retrocardiac region,1
